death_date, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, 90-94, 95-99, 100-104, 105-109, 110-114, 115-119
2015-08-24,5,,1,3,1,2,8,7,7,10,14,18,12,17,12,5,10,7,6,1,1,,,
2015-08-25,8,,1,2,5,5,9,3,9,14,11,12,12,15,20,11,14,8,8,,,,,
2015-08-26,9,2,1,3,5,7,4,4,7,10,10,9,14,16,13,13,15,6,6,1,,,,
2015-08-27,4,1,,,6,5,7,4,9,9,11,16,9,16,12,10,9,10,3,2,,,,
2015-08-28,6,,,3,1,8,4,6,7,12,8,15,11,15,9,10,12,8,6,1,,,,
2015-08-29,2,1,,3,5,5,4,4,8,8,11,9,14,15,19,14,14,7,8,,,,,
2015-08-30,8,,1,2,2,3,6,6,4,12,9,9,8,24,14,14,7,9,3,3,,,,
2015-08-31,2,3,,2,5,8,2,6,6,6,16,15,14,22,14,5,17,10,5,3,,,,
2015-09-01,7,,1,1,5,4,7,3,8,8,13,18,15,13,13,13,10,4,2,,,,,
2015-09-02,4,,,,4,1,1,3,4,14,9,19,14,14,14,15,12,5,2,1,,,,
2015-09-03,3,1,,3,5,3,5,4,13,8,16,7,15,14,18,17,11,6,6,2,,,,
2015-09-04,6,,2,3,5,9,5,2,6,22,11,14,16,14,9,18,9,7,4,,,,,
2015-09-05,5,1,,1,6,2,4,5,5,13,12,8,16,13,11,8,10,8,7,2,,1,,
2015-09-06,9,1,,1,2,2,5,5,6,13,9,20,6,9,17,14,10,7,4,4,,,,
2015-09-07,2,1,,1,5,5,4,8,9,14,9,10,19,11,12,12,14,8,1,2,,,,
2015-09-08,5,,,,3,4,4,9,13,10,14,12,13,10,8,5,9,6,2,2,,,,
2015-09-09,8,,1,1,2,5,5,9,5,12,16,10,15,17,16,14,10,11,7,,,,,
2015-09-10,8,,1,,3,4,7,7,16,14,10,13,9,11,7,14,5,8,4,,,,,
2015-09-11,5,1,,1,5,2,2,4,3,14,12,16,16,10,10,8,13,9,4,2,,,,
2015-09-12,6,2,1,,3,4,2,10,6,11,12,7,17,10,22,9,7,14,5,2,,,,
2015-09-13,5,,,7,3,7,7,4,15,13,7,15,9,11,7,9,9,7,2,,,,,
2015-09-14,4,,1,4,6,6,3,7,13,11,5,16,11,14,7,7,11,6,2,,1,,,
2015-09-15,6,,1,1,3,2,8,7,8,9,12,16,15,14,15,11,11,13,3,1,1,,,
2015-09-16,5,,,3,6,2,3,7,6,14,13,20,13,18,15,11,18,7,5,2,,,,
2015-09-17,4,,,5,3,5,3,10,11,7,7,9,21,15,20,13,16,13,2,2,1,,1,
2015-09-18,9,1,1,1,5,9,5,6,7,15,17,11,20,11,10,16,12,15,9,1,,,,
2015-09-19,8,1,,1,2,5,5,3,10,12,9,10,13,14,15,11,8,12,6,1,,,,
2015-09-20,4,2,,3,3,2,6,4,6,10,10,10,14,22,9,14,7,6,5,3,,,,
2015-09-21,4,,,3,6,3,4,6,5,12,11,10,10,20,12,16,10,12,4,,,,,
2015-09-22,3,,,1,9,4,3,8,9,9,12,14,15,8,11,20,8,8,4,,,,,
