Date,Male,Female,Total
17-03-2012,34,23,57
18-03-2012,26,18,44
19-03-2012,26,18,44
20-03-2012,44,18,62
21-03-2012,22,26,48
22-03-2012,28,17,45
23-03-2012,34,14,48
24-03-2012,33,14,47
25-03-2012,30,23,53
26-03-2012,25,17,42
27-03-2012,23,32,55
28-03-2012,12,17,29
29-03-2012,25,24,49
30-03-2012,30,15,45
31-03-2012,28,24,52
01-04-2012,31,18,49
02-04-2012,28,18,46
03-04-2012,34,20,54
04-04-2012,19,17,36
05-04-2012,25,24,49
06-04-2012,27,24,51
07-04-2012,25,17,42
08-04-2012,35,13,48
09-04-2012,25,22,47
10-04-2012,32,13,45
11-04-2012,35,26,61
12-04-2012,31,14,45
13-04-2012,29,15,44
14-04-2012,31,14,45
15-04-2012,24,13,37
16-04-2012,26,14,40
17-04-2012,23,20,43
18-04-2012,30,20,50
19-04-2012,33,15,48
20-04-2012,25,21,46
21-04-2012,26,25,51
22-04-2012,31,18,49
23-04-2012,36,22,58
24-04-2012,26,22,48
25-04-2012,23,13,36
26-04-2012,17,18,35
27-04-2012,27,14,41
28-04-2012,28,21,49
29-04-2012,27,12,39
30-04-2012,31,14,45
01-05-2012,25,16,41
02-05-2012,31,17,48
03-05-2012,21,14,35
04-05-2012,30,25,55
05-05-2012,25,22,47
06-05-2012,27,15,42
07-05-2012,30,15,45
08-05-2012,36,22,58
09-05-2012,34,7,41
10-05-2012,36,24,60
11-05-2012,40,22,62
12-05-2012,21,16,37
13-05-2012,35,18,53
14-05-2012,25,15,40
15-05-2012,48,16,64
16-05-2012,41,28,69
17-05-2012,37,19,56
18-05-2012,33,10,43
19-05-2012,34,16,50
20-05-2012,33,23,56
21-05-2012,30,17,47
22-05-2012,35,23,58
23-05-2012,32,19,51
24-05-2012,35,19,54
25-05-2012,33,18,51
26-05-2012,44,35,79
27-05-2012,37,28,65
28-05-2012,44,13,57
29-05-2012,41,15,56
30-05-2012,40,29,69
31-05-2012,37,28,65
01-06-2012,56,34,90
02-06-2012,44,40,84
03-06-2012,37,26,63
04-06-2012,31,23,54
05-06-2012,30,24,54
06-06-2012,39,18,57
07-06-2012,29,15,44
08-06-2012,28,15,43
09-06-2012,25,25,50
10-06-2012,23,20,43
11-06-2012,36,22,58
12-06-2012,43,14,57
13-06-2012,31,27,58
14-06-2012,25,22,47
15-06-2012,24,20,44
16-06-2012,28,21,49
17-06-2012,43,24,67
18-06-2012,42,24,66
19-06-2012,26,23,49
20-06-2012,34,15,49
21-06-2012,39,20,59
22-06-2012,31,19,50
23-06-2012,38,29,67
24-06-2012,51,23,74
25-06-2012,45,26,71
26-06-2012,50,17,67
27-06-2012,33,15,48
28-06-2012,46,25,71
29-06-2012,40,11,51
30-06-2012,44,25,69
01-07-2012,35,20,55
02-07-2012,48,25,73
03-07-2012,29,26,55
04-07-2012,27,14,41
05-07-2012,36,27,63
06-07-2012,24,20,44
07-07-2012,23,9,32
08-07-2012,30,14,44
09-07-2012,35,13,48
10-07-2012,28,14,42
11-07-2012,34,19,53
12-07-2012,40,8,48
13-07-2012,32,19,51
14-07-2012,27,9,36
15-07-2012,30,17,47
16-07-2012,30,15,45
17-07-2012,35,18,53
18-07-2012,37,17,54
19-07-2012,33,19,52
20-07-2012,43,21,64
21-07-2012,28,21,49
22-07-2012,30,22,52
23-07-2012,29,19,48
24-07-2012,24,20,44
25-07-2012,27,13,40
26-07-2012,27,12,39
27-07-2012,32,23,55
28-07-2012,34,19,53
29-07-2012,36,20,56
30-07-2012,22,12,34
31-07-2012,30,19,49
01-08-2012,29,17,46
02-08-2012,34,26,60
03-08-2012,29,13,42
04-08-2012,38,19,57
05-08-2012,22,13,35
06-08-2012,20,14,34
07-08-2012,19,19,38
08-08-2012,30,23,53
09-08-2012,39,25,64
10-08-2012,28,11,39
11-08-2012,30,18,48
12-08-2012,40,19,59
13-08-2012,26,18,44
14-08-2012,32,15,47
15-08-2012,29,18,47
16-08-2012,40,19,59
17-08-2012,28,15,43
18-08-2012,28,19,47
19-08-2012,28,29,57
20-08-2012,28,16,44
21-08-2012,23,27,50
22-08-2012,26,17,43
23-08-2012,29,17,46
24-08-2012,28,16,44
25-08-2012,33,18,51
26-08-2012,27,21,48
27-08-2012,25,15,40
28-08-2012,24,17,41
29-08-2012,25,18,43
30-08-2012,29,25,54
31-08-2012,25,15,40
01-09-2012,35,29,64
02-09-2012,34,26,60
03-09-2012,31,9,40
04-09-2012,36,21,57
05-09-2012,34,26,60
06-09-2012,47,25,72
07-09-2012,31,21,52
08-09-2012,30,16,46
09-09-2012,33,22,55
10-09-2012,42,28,70
11-09-2012,40,22,62
12-09-2012,36,20,56
13-09-2012,32,23,55
14-09-2012,40,25,65
15-09-2012,34,22,56
16-09-2012,35,25,60
17-09-2012,34,18,52
18-09-2012,38,18,56
19-09-2012,51,18,69
20-09-2012,30,24,54
21-09-2012,49,34,83
22-09-2012,36,18,54
23-09-2012,20,22,42
24-09-2012,27,24,51
25-09-2012,33,16,49
26-09-2012,33,23,56
27-09-2012,30,24,54
28-09-2012,38,12,50
29-09-2012,35,25,60
30-09-2012,39,27,66
01-10-2012,36,29,65
02-10-2012,39,21,60
03-10-2012,37,28,65
04-10-2012,36,16,52
05-10-2012,30,20,50
06-10-2012,26,18,44
07-10-2012,20,25,45
08-10-2012,27,17,44
09-10-2012,38,17,55
10-10-2012,31,18,49
11-10-2012,23,19,42
12-10-2012,35,18,53
13-10-2012,28,19,47
14-10-2012,23,20,43
15-10-2012,38,23,61
16-10-2012,27,18,45
17-10-2012,27,20,47
18-10-2012,31,17,48
19-10-2012,31,16,47
20-10-2012,26,16,42
21-10-2012,25,17,42
22-10-2012,31,26,57
23-10-2012,27,14,41
24-10-2012,29,17,46
25-10-2012,48,21,69
26-10-2012,26,20,46
27-10-2012,34,17,51
28-10-2012,34,21,55
29-10-2012,32,21,53
30-10-2012,40,24,64
31-10-2012,32,20,52
01-11-2012,38,18,56
02-11-2012,37,19,56
03-11-2012,28,27,55
04-11-2012,33,18,51
05-11-2012,28,21,49
06-11-2012,42,11,53
07-11-2012,42,25,67
08-11-2012,45,24,69
09-11-2012,31,16,47
10-11-2012,46,15,61
11-11-2012,31,20,51
12-11-2012,38,22,60
13-11-2012,33,29,62
14-11-2012,25,16,41
15-11-2012,25,10,35
16-11-2012,29,23,52
17-11-2012,38,22,60
18-11-2012,29,19,48
19-11-2012,28,14,42
20-11-2012,27,21,48
21-11-2012,27,15,42
22-11-2012,32,27,59
23-11-2012,37,25,62
24-11-2012,43,26,69
25-11-2012,39,23,62
26-11-2012,30,18,48
27-11-2012,38,20,58
28-11-2012,48,17,65
29-11-2012,40,22,62
30-11-2012,36,16,52
01-12-2012,27,18,45
02-12-2012,29,16,45
03-12-2012,33,24,57
04-12-2012,46,23,69
05-12-2012,41,23,64
06-12-2012,39,16,55
